

#----------pool number=4, sample number=15------------------#
Decoded results for trial 1/5: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Pos	4.19e-03
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
Decoded results for trial 2/5: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Pos	2.64e+02
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
Decoded results for trial 3/5: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Pos	7.86e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
Decoded results for trial 4/5: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Pos	2.76e-01
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
Decoded results for trial 5/5: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Pos	8.11e+01
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00

#----------pool number=3, sample number=7------------------#
Decoded results for trial 1/1: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Pos	4.47e-01
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00

#----------pool number=5, sample number=31------------------#
Decoded results for trial 1/7: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
		  16-th sample: Neg	0.00e+00
		  17-th sample: Neg	0.00e+00
		  18-th sample: Neg	0.00e+00
		  19-th sample: Neg	0.00e+00
		  20-th sample: Neg	0.00e+00
		  21-th sample: Neg	0.00e+00
		  22-th sample: Neg	0.00e+00
		  23-th sample: Neg	0.00e+00
		  24-th sample: Neg	0.00e+00
		  25-th sample: Neg	0.00e+00
		  26-th sample: Neg	0.00e+00
		  27-th sample: Neg	0.00e+00
		  28-th sample: Neg	0.00e+00
		  29-th sample: Neg	0.00e+00
		  30-th sample: Neg	0.00e+00
		  31-th sample: Pos	4.29e-04
Decoded results for trial 2/7: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
		  16-th sample: Neg	0.00e+00
		  17-th sample: Neg	0.00e+00
		  18-th sample: Neg	0.00e+00
		  19-th sample: Neg	0.00e+00
		  20-th sample: Neg	0.00e+00
		  21-th sample: Pos	5.88e+01
		  22-th sample: Neg	0.00e+00
		  23-th sample: Neg	0.00e+00
		  24-th sample: Neg	0.00e+00
		  25-th sample: Neg	0.00e+00
		  26-th sample: Neg	0.00e+00
		  27-th sample: Neg	0.00e+00
		  28-th sample: Neg	0.00e+00
		  29-th sample: Neg	0.00e+00
		  30-th sample: Neg	0.00e+00
		  31-th sample: Neg	0.00e+00
Decoded results for trial 3/7: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
		  16-th sample: Neg	0.00e+00
		  17-th sample: Pos	3.72e-04
		  18-th sample: Neg	0.00e+00
		  19-th sample: Neg	0.00e+00
		  20-th sample: Neg	0.00e+00
		  21-th sample: Neg	0.00e+00
		  22-th sample: Neg	0.00e+00
		  23-th sample: Neg	0.00e+00
		  24-th sample: Neg	0.00e+00
		  25-th sample: Neg	0.00e+00
		  26-th sample: Neg	0.00e+00
		  27-th sample: Neg	0.00e+00
		  28-th sample: Neg	0.00e+00
		  29-th sample: Neg	0.00e+00
		  30-th sample: Neg	0.00e+00
		  31-th sample: Neg	0.00e+00
Decoded results for trial 4/7: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
		  16-th sample: Neg	0.00e+00
		  17-th sample: Neg	0.00e+00
		  18-th sample: Neg	0.00e+00
		  19-th sample: Neg	0.00e+00
		  20-th sample: Neg	0.00e+00
		  21-th sample: Neg	0.00e+00
		  22-th sample: Neg	0.00e+00
		  23-th sample: Neg	0.00e+00
		  24-th sample: Neg	0.00e+00
		  25-th sample: Neg	0.00e+00
		  26-th sample: Neg	0.00e+00
		  27-th sample: Neg	0.00e+00
		  28-th sample: Neg	0.00e+00
		  29-th sample: Pos	2.88e-02
		  30-th sample: Neg	0.00e+00
		  31-th sample: Neg	0.00e+00
Decoded results for trial 5/7: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
		  16-th sample: Neg	0.00e+00
		  17-th sample: Neg	0.00e+00
		  18-th sample: Neg	0.00e+00
		  19-th sample: Neg	0.00e+00
		  20-th sample: Neg	0.00e+00
		  21-th sample: Neg	0.00e+00
		  22-th sample: Pos	3.86e-02
		  23-th sample: Neg	0.00e+00
		  24-th sample: Neg	0.00e+00
		  25-th sample: Neg	0.00e+00
		  26-th sample: Neg	0.00e+00
		  27-th sample: Neg	0.00e+00
		  28-th sample: Neg	0.00e+00
		  29-th sample: Neg	0.00e+00
		  30-th sample: Neg	0.00e+00
		  31-th sample: Neg	0.00e+00
Decoded results for trial 6/7: Status	Virus Load
		  1-th sample: Neg	0.00e+00
		  2-th sample: Neg	0.00e+00
		  3-th sample: Neg	0.00e+00
		  4-th sample: Neg	0.00e+00
		  5-th sample: Neg	0.00e+00
		  6-th sample: Neg	0.00e+00
		  7-th sample: Neg	0.00e+00
		  8-th sample: Neg	0.00e+00
		  9-th sample: Neg	0.00e+00
		  10-th sample: Neg	0.00e+00
		  11-th sample: Neg	0.00e+00
		  12-th sample: Neg	0.00e+00
		  13-th sample: Neg	0.00e+00
		  14-th sample: Neg	0.00e+00
		  15-th sample: Neg	0.00e+00
		  16-th sample: Pos	4.85e+00
		  17-th sample: Neg	0.00e+00
		  18-th sample: Neg	0.00e+00
		  19-th sample: Neg	0.00e+00
		  20-th sample: Neg	0.00e+00
		  21-th sample: Neg	0.00e+00
		  22-th sample: Neg	0.00e+00
		  23-th sample: Neg	0.00e+00
		  24-th sample: Neg	0.00e+00
